epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5702,3.0572,4.25542,4.22086,0.00048,0.07576,0.00028,6e-05,3.12085,4.21488,4.1612,0.00330275,0.00330275,0.00330275
2,55.1144,2.4517,2.87074,3.23174,0.51555,0.57465,0.60048,0.31111,1.79788,2.12894,2.62116,0.00662295,0.00662295,0.00662295
3,81.1076,1.93798,2.22542,2.61599,0.51998,0.60997,0.74123,0.41671,1.55203,3.4739,2.20924,0.00992994,0.00992994,0.00992994
4,107.328,1.62012,1.63105,2.23308,0.52392,0.41998,0.40336,0.2268,1.67679,5.3459,2.38558,0.0099406,0.0099406,0.0099406
5,133.503,1.47965,1.33713,2.05859,0.7583,0.53713,0.57667,0.3369,1.30687,3.24798,1.89695,0.0099208,0.0099208,0.0099208
6,159.426,1.37613,1.1434,1.95923,0.93166,0.87879,0.95172,0.63919,1.14358,1.01623,1.6962,0.009901,0.009901,0.009901
7,185.362,1.3219,1.03724,1.89674,0.92861,0.94127,0.9522,0.65618,1.07657,0.77952,1.63178,0.0098812,0.0098812,0.0098812
8,211.681,1.27791,0.95077,1.84888,0.77774,0.92999,0.95387,0.68348,1.05743,1.0056,1.62051,0.0098614,0.0098614,0.0098614
9,238.111,1.23262,0.88293,1.79833,0.92893,0.90474,0.95065,0.71269,0.95369,0.72873,1.50532,0.0098416,0.0098416,0.0098416
10,263.421,1.21027,0.83193,1.77272,0.92412,0.92414,0.95433,0.7212,0.91705,0.66101,1.48939,0.0098218,0.0098218,0.0098218
11,288.848,1.17463,0.79318,1.74132,0.95675,0.90626,0.95183,0.72281,0.92007,0.62595,1.51419,0.009802,0.009802,0.009802
12,313.964,1.15881,0.7741,1.72641,0.94121,0.95864,0.9677,0.67352,1.10678,0.65494,1.62206,0.0097822,0.0097822,0.0097822
13,339.618,1.13232,0.74928,1.69271,0.94762,0.95125,0.97865,0.70498,1.01929,0.58599,1.55244,0.0097624,0.0097624,0.0097624
14,365.526,1.12877,0.74324,1.68502,0.95035,0.95169,0.96914,0.74117,0.91002,0.53992,1.48098,0.0097426,0.0097426,0.0097426
15,391.72,1.09923,0.70482,1.6603,0.96916,0.96698,0.97484,0.75887,0.86633,0.51107,1.41544,0.0097228,0.0097228,0.0097228
16,416.885,1.09989,0.70859,1.65649,0.96951,0.97002,0.97371,0.75948,0.84123,0.49161,1.41142,0.009703,0.009703,0.009703
17,442.219,1.08484,0.68512,1.63695,0.96066,0.97598,0.98049,0.75856,0.86019,0.51891,1.39953,0.0096832,0.0096832,0.0096832
18,467.476,1.06651,0.67256,1.61849,0.9766,0.96717,0.97829,0.75038,0.88388,0.50967,1.42689,0.0096634,0.0096634,0.0096634
19,492.784,1.04509,0.66381,1.59697,0.971,0.95728,0.97316,0.77177,0.8174,0.52129,1.39279,0.0096436,0.0096436,0.0096436
20,517.762,1.04464,0.65299,1.60581,0.96517,0.96678,0.98003,0.77243,0.83599,0.47041,1.38145,0.0096238,0.0096238,0.0096238
21,542.859,1.03503,0.64505,1.59434,0.96502,0.97106,0.97978,0.77552,0.84275,0.4655,1.37568,0.009604,0.009604,0.009604
22,568.162,1.03589,0.64461,1.59028,0.97737,0.97518,0.97889,0.77228,0.84995,0.4327,1.38098,0.0095842,0.0095842,0.0095842
